entity,entity_id,question,question_id,answer_list
a plate of food,10,"Is the plate of food on a table, placemat, or countertop?",26m,"['placemat', 'table', 'countertop']"
a plate of food,10,Is the plate primarily white or black?,20l,"['white', 'black']"
a plate of food,10,Is the plate round or square?,17g,"['square', 'round']"
a plate of food,10,"Is there any food item on the plate that visually resembles rice, bread, pasta, or potatoes?",21g,"['yes', 'no']"
a plate of food,10,"Is the plate made up of a single kind of food (e.g., only cookies) or multiple different types (e.g., rice, curry, and vegetables)?",19q,"['single','multiple']"
a storefront,38,"Are there any items placed outside the storefront, such as displays, furniture, or plants?",85q,"['yes', 'no']"
a storefront,38,Are there any lights on inside or on the exterior of the storefront?,86g,"['yes', 'no']"
a storefront,38,Are there any signs or logos identifying the store visible on the storefront?,83o,"['yes', 'no']"
a storefront,38,Are there products or displays visible in the storefront window?,81g,"['yes', 'no']"
a storefront,38,Does the storefront have an awning or a canopy?,80g,"['yes', 'no']"
a storefront,38,"Is the facade primarily made of brick, wood, or glass?",84g,"['glass', 'wood', 'brick']"
a storefront,38,Is the main entrance door to the storefront open or closed?,82g,"['closed', 'partially open', 'open']"
a storefront,38,"Is the storefront entrance a single door, double doors, or a revolving door?",88o,"['single door', 'double doors', 'revolving door']"
a storefront,38,Is the storefront part of a larger building or a standalone structure?,89l,"['part of a larger building', 'standalone structure']"
a storefront,38,Is there a sidewalk in front of the storefront?,89m,"['yes', 'no']"
a storefront,38,Is there an 'Open' or 'Closed' sign on the storefront?,83g,"['yes', 'no']"
a storefront,38,What is the primary color of the storefront's facade?,79g,"['blue', 'red', 'pink', 'purple', 'gray', 'green', 'yellow', 'orange', 'brown', 'white', 'beige']"
a stove,12,Are there multiple burners or heating zones visible on the cooktop?,27g,"['yes', 'no']"
a stove,12,Does the stove have a backguard or splash guard?,35m,"['yes', 'no']"
a stove,12,Does the stove's oven door have a glass window?,31g,"['yes', 'no']"
a stove,12,Is the stove freestanding or built into the surrounding counter?,28g,"['built-in', 'freestanding']"
a stove,12,Is there a digital clock or timer display on the stove?,33g,"['yes', 'no']"
a stove,12,Is there a range hood or vent above the stove?,34o,"['yes', 'no']"
a stove,12,Is there an oven integrated below the cooktop?,30g,"['yes', 'no']"
a stove,12,"Is there any cookware, such as a pot or pan, on the stove?",32g,"['yes', 'no']"
a stove,12,What is the primary color of the stove?,26g,"['red', 'blue', 'cream', 'gray', 'silver', 'green', 'white', 'black']"
a stove,12,What is the primary material of the stove's body: stainless steel or enamel/painted metal?,33l,"['stainless steel', 'enamel/painted metal']"
a stove,12,"What kind of controls are visible on the stove: knobs, buttons, or a touchscreen display?",29g,"['touchscreen display', 'buttons', 'knobs']"
a stove,12,"What type of cooktop does the stove have: gas burners, electric coils, or a flat glass/ceramic top?",25g,"['gas burners', 'electric coils', 'flat glass/ceramic top']"
a car,27,Does the car appear modern or vintage?,u0,"['modern', 'vintage']"
a plate of food,10,Are there smaller dishes or bowls visible along with the main plate of food?,u1,"['yes', 'no']"
